description,founded,franchising_since,industry,initial_investment,name,parent_company,ranking,ranking_last_year,units
Mexican-inspired food,1962,1964,Food,$576K - $3.4M,Taco Bell,Yum! Brands Inc.,#1,Ranked #1 last year,"[{""year"":""2013"",""us"":""4651"",""fgn"":282,""com"":""1047"",""total"":5980},{""year"":""2014"",""us"":""4878"",""fgn"":279,""com"":""896"",""total"":6053},{""year"":""2015"",""us"":""5124"",""fgn"":274,""com"":""923"",""total"":6321},{""year"":""2016"",""us"":""5274"",""fgn"":285,""com"":""909"",""total"":6468},{""year"":""2017"",""us"":""5535"",""fgn"":354,""com"":""797"",""total"":6686},{""year"":""2018"",""us"":""5886"",""fgn"":413,""com"":""606"",""total"":6905},{""year"":""2019"",""us"":""6161"",""fgn"":501,""com"":""474"",""total"":7136},{""year"":""2020"",""us"":""6323"",""fgn"":604,""com"":""473"",""total"":7400},{""year"":""2021"",""us"":""6418"",""fgn"":672,""com"":""477"",""total"":7567},{""year"":""2022"",""us"":""6579"",""fgn"":856,""com"":""465"",""total"":7900}]"
"Fried chicken, seafood, biscuits",1972,1976,Food,$384K - $3.5M,Popeyes Louisiana Kitchen,Restaurant Brands Int'l.,#2,Ranked #3 last year,"[{""year"":""2017"",""us"":""2075"",""fgn"":647,""com"":""54"",""total"":2776},{""year"":""2018"",""us"":""2239"",""fgn"":715,""com"":""41"",""total"":2995},{""year"":""2019"",""us"":""2347"",""fgn"":778,""com"":""41"",""total"":3166},{""year"":""2020"",""us"":""2486"",""fgn"":850,""com"":""41"",""total"":3377},{""year"":""2021"",""us"":""2654"",""fgn"":880,""com"":""41"",""total"":3575},{""year"":""2022"",""us"":""2786"",""fgn"":1024,""com"":""41"",""total"":3851}]"
Subs and Philly cheesesteaks,1956,1987,Food,$194K - $955K,Jersey Mike's Subs,Jersey Mike's Franchise Systems Inc.,#3,Ranked #4 last year,"[{""year"":""2013"",""us"":""689"",""fgn"":0,""com"":""24"",""total"":713},{""year"":""2014"",""us"":""815"",""fgn"":0,""com"":""30"",""total"":845},{""year"":""2015"",""us"":""1006"",""fgn"":0,""com"":""40"",""total"":1046},{""year"":""2016"",""us"":""1132"",""fgn"":0,""com"":""57"",""total"":1189},{""year"":""2017"",""us"":""1219"",""fgn"":0,""com"":""58"",""total"":1277},{""year"":""2018"",""us"":""1347"",""fgn"":0,""com"":""84"",""total"":1431},{""year"":""2019"",""us"":""1520"",""fgn"":0,""com"":""72"",""total"":1592},{""year"":""2020"",""us"":""1681"",""fgn"":0,""com"":""61"",""total"":1742},{""year"":""2021"",""us"":""1942"",""fgn"":0,""com"":""31"",""total"":1973},{""year"":""2022"",""us"":""2226"",""fgn"":3,""com"":""24"",""total"":2253},{""year"":""2023"",""us"":""2379"",""fgn"":5,""com"":""18"",""total"":2402}]"
"Shipping, packing, mailboxes, printing, faxing, shredding, notary services",1980,1980,Services (Other),$122K - $508K,The UPS Store,United Parcel Service,#4,Ranked #2 last year,"[{""year"":""2013"",""us"":""4411"",""fgn"":365,""com"":""0"",""total"":4776},{""year"":""2014"",""us"":""4432"",""fgn"":361,""com"":""0"",""total"":4793},{""year"":""2015"",""us"":""4506"",""fgn"":356,""com"":""0"",""total"":4862},{""year"":""2016"",""us"":""4555"",""fgn"":355,""com"":""0"",""total"":4910},{""year"":""2017"",""us"":""4622"",""fgn"":357,""com"":""0"",""total"":4979},{""year"":""2018"",""us"":""4720"",""fgn"":351,""com"":""0"",""total"":5071},{""year"":""2019"",""us"":""4819"",""fgn"":347,""com"":""0"",""total"":5166},{""year"":""2020"",""us"":""4919"",""fgn"":349,""com"":""0"",""total"":5268},{""year"":""2021"",""us"":""5006"",""fgn"":353,""com"":""0"",""total"":5359},{""year"":""2022"",""us"":""5098"",""fgn"":365,""com"":""1"",""total"":5464}]"
"Coffee, doughnuts, baked goods",1950,1955,Food,$438K - $1.8M,Dunkin',Inspire Brands,#5,Ranked #11 last year,"[{""year"":""2013"",""us"":""7556"",""fgn"":3267,""com"":""0"",""total"":10823},{""year"":""2014"",""us"":""7821"",""fgn"":3172,""com"":""0"",""total"":10993},{""year"":""2015"",""us"":""8308"",""fgn"":3260,""com"":""0"",""total"":11568},{""year"":""2016"",""us"":""8573"",""fgn"":3368,""com"":""0"",""total"":11941},{""year"":""2017"",""us"":""8948"",""fgn"":3402,""com"":""0"",""total"":12350},{""year"":""2018"",""us"":""9261"",""fgn"":3415,""com"":""0"",""total"":12676},{""year"":""2019"",""us"":""9499"",""fgn"":3458,""com"":""0"",""total"":12957},{""year"":""2020"",""us"":""9597"",""fgn"":3528,""com"":""0"",""total"":13125},{""year"":""2021"",""us"":""9193"",""fgn"":3607,""com"":""0"",""total"":12800},{""year"":""2022"",""us"":""9244"",""fgn"":3713,""com"":""0"",""total"":12957}]"
Supplemental education,1954,1958,Children's Businesses,$67K - $146K,Kumon,"Mino Tanabe, CEO",#6,Ranked #6 last year,"[{""year"":""2013"",""us"":""1492"",""fgn"":23918,""com"":""27"",""total"":25437},{""year"":""2014"",""us"":""1451"",""fgn"":23905,""com"":""28"",""total"":25384},{""year"":""2015"",""us"":""1448"",""fgn"":23904,""com"":""34"",""total"":25386},{""year"":""2016"",""us"":""1478"",""fgn"":24333,""com"":""30"",""total"":25841},{""year"":""2017"",""us"":""1489"",""fgn"":24338,""com"":""32"",""total"":25859},{""year"":""2018"",""us"":""1502"",""fgn"":24352,""com"":""27"",""total"":25881},{""year"":""2019"",""us"":""1537"",""fgn"":24719,""com"":""22"",""total"":26278},{""year"":""2020"",""us"":""1565"",""fgn"":24773,""com"":""27"",""total"":26365},{""year"":""2021"",""us"":""1592"",""fgn"":24729,""com"":""44"",""total"":26365},{""year"":""2022"",""us"":""1625"",""fgn"":24861,""com"":""41"",""total"":26527}]"
"Frozen custard, specialty burgers",1984,1988,Food,$2.3M - $5.8M,Culver's,Culver Franchising System LLC,#8,Ranked #5 last year,"[{""year"":""2013"",""us"":""482"",""fgn"":0,""com"":""8"",""total"":490},{""year"":""2014"",""us"":""511"",""fgn"":0,""com"":""8"",""total"":519},{""year"":""2015"",""us"":""549"",""fgn"":0,""com"":""7"",""total"":556},{""year"":""2016"",""us"":""566"",""fgn"":0,""com"":""8"",""total"":574},{""year"":""2017"",""us"":""623"",""fgn"":0,""com"":""8"",""total"":631},{""year"":""2018"",""us"":""661"",""fgn"":0,""com"":""6"",""total"":667},{""year"":""2019"",""us"":""709"",""fgn"":0,""com"":""6"",""total"":715},{""year"":""2020"",""us"":""759"",""fgn"":0,""com"":""6"",""total"":765},{""year"":""2021"",""us"":""802"",""fgn"":0,""com"":""6"",""total"":808},{""year"":""2022"",""us"":""865"",""fgn"":0,""com"":""6"",""total"":871}]"
Hardware and home improvement stores,1924,1976,Retail,$292K - $2.1M,Ace Hardware,"John Venhuizen, CEO",#7,Ranked #12 last year,"[{""year"":""2013"",""us"":""4040"",""fgn"":628,""com"":""85"",""total"":4753},{""year"":""2014"",""us"":""4148"",""fgn"":654,""com"":""85"",""total"":4887},{""year"":""2015"",""us"":""4175"",""fgn"":574,""com"":""91"",""total"":4840},{""year"":""2016"",""us"":""4228"",""fgn"":607,""com"":""96"",""total"":4931},{""year"":""2017"",""us"":""4260"",""fgn"":672,""com"":""101"",""total"":5033},{""year"":""2018"",""us"":""4313"",""fgn"":748,""com"":""122"",""total"":5183},{""year"":""2019"",""us"":""4386"",""fgn"":793,""com"":""133"",""total"":5312},{""year"":""2020"",""us"":""4370"",""fgn"":821,""com"":""194"",""total"":5385},{""year"":""2021"",""us"":""4522"",""fgn"":821,""com"":""211"",""total"":5554},{""year"":""2022"",""us"":""4611"",""fgn"":845,""com"":""218"",""total"":5674},{""year"":""2023"",""us"":""4645"",""fgn"":879,""com"":""222"",""total"":5746}]"
Upper midscale hotels,1983,1984,Lodging,$12.3M - $22.8M,Hampton by Hilton,Hilton,#9,Ranked #17 last year,"[{""year"":""2013"",""us"":""1853"",""fgn"":83,""com"":""1"",""total"":1937},{""year"":""2014"",""us"":""1872"",""fgn"":91,""com"":""1"",""total"":1964},{""year"":""2015"",""us"":""1939"",""fgn"":114,""com"":""1"",""total"":2054},{""year"":""2016"",""us"":""2007"",""fgn"":141,""com"":""1"",""total"":2149},{""year"":""2017"",""us"":""2108"",""fgn"":169,""com"":""0"",""total"":2277},{""year"":""2018"",""us"":""2163"",""fgn"":218,""com"":""0"",""total"":2381},{""year"":""2019"",""us"":""2207"",""fgn"":284,""com"":""0"",""total"":2491},{""year"":""2020"",""us"":""2250"",""fgn"":332,""com"":""0"",""total"":2582},{""year"":""2021"",""us"":""2299"",""fgn"":416,""com"":""0"",""total"":2715},{""year"":""2022"",""us"":""2319"",""fgn"":505,""com"":""0"",""total"":2824}]"
"Chicken wings, fries, sides",1994,1998,Food,$315K - $948K,Wingstop,Wingstop Restaurants Inc.,#10,Ranked #16 last year,"[{""year"":""2013"",""us"":""569"",""fgn"":21,""com"":""24"",""total"":614},{""year"":""2014"",""us"":""652"",""fgn"":41,""com"":""19"",""total"":712},{""year"":""2015"",""us"":""767"",""fgn"":59,""com"":""19"",""total"":845},{""year"":""2016"",""us"":""901"",""fgn"":76,""com"":""21"",""total"":998},{""year"":""2017"",""us"":""1004"",""fgn"":106,""com"":""23"",""total"":1133},{""year"":""2018"",""us"":""1040"",""fgn"":122,""com"":""26"",""total"":1188},{""year"":""2019"",""us"":""1139"",""fgn"":135,""com"":""29"",""total"":1303},{""year"":""2020"",""us"":""1244"",""fgn"":162,""com"":""30"",""total"":1436},{""year"":""2021"",""us"":""1415"",""fgn"":175,""com"":""34"",""total"":1624},{""year"":""2022"",""us"":""1618"",""fgn"":223,""com"":""32"",""total"":1873}]"
